VAR,STATION,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
0,PALMERVILLE,-16,144.08,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.69,34.58,32.67,31.18,36.22,34.49,32.87,34.13,33.45,32.87,33.09,32.05,30.64,30.6,32.13,34.37,37.01,37.51,36.18
0,PERTH-AIRPORT,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2020-2039,25.84,32.08,26.9,19.68,24.61,30.39,21.24,33.13,33.17,30.81,27.02,22.86,20.46,19.06,19.52,21.5,24.05,28.27,30.22
0,PORT-HEDLAND-AIRPORT,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2020-2039,34.3,36.99,35.65,29.3,35.18,37.16,31.4,37.16,37.04,37.7,37.02,32.23,29.06,28.93,29.91,32.27,35.99,37.3,37.01
0,PORT-MACQUARIE-AIRPORT-AWS,-31.43,152.87,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.36,27.92,24.79,20.36,24.41,26.9,21.85,28.44,28.46,26.98,25,22.4,20.42,19.69,20.99,23.04,24.57,25.62,26.97
0,RABBIT-FLAT,-20.18,130.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,34.83,38.93,34.04,28.42,37.88,38.29,31.35,39.23,37.88,37.53,34.77,29.83,26.97,27.75,30.52,35.07,37.95,40.63,39.76
0,RICHMOND-POST-OFFICE,-20.73,143.14,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.69,37.44,33.38,28.14,35.82,36.64,30.75,37.62,36.68,35.76,33.87,30.49,27.1,27.71,29.62,33.31,36.29,37.86,37.97
0,RICHMOND-RAAF,-33.6,150.78,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.52,29.49,24.43,19.27,24.9,27.86,21.18,30.38,29.52,27.15,24.89,21.27,18.95,18.7,20.15,22.72,25.3,26.67,28.51
0,ROBE-COMPARISON,-37.16,139.76,r1i1p1,rcp26,CESM1-CAM5,2020-2039,19.07,22.66,19.83,15.31,18.44,21.64,16.48,23.22,23.41,21.49,20.11,17.88,15.48,15.07,15.39,16.6,18.48,20.23,21.43
0,ROCKHAMPTON-AERO,-23.38,150.48,r1i1p1,rcp26,CESM1-CAM5,2020-2039,29.6,32.74,29.75,25.14,30.76,32.05,27.13,33.08,32.59,32.15,29.83,27.26,24.7,24.64,26.08,28.94,31.17,32.17,32.55
0,RUTHERGLEN-RESEARCH,-36.1,146.51,r1i1p1,rcp26,CESM1-CAM5,2020-2039,22.64,31.53,23.37,14.25,21.38,28.67,16.6,32.69,31.97,27.78,23.95,18.39,14.13,13.71,14.9,17.41,21.06,25.68,29.99
0,SCONE-AIRPORT-AWS,-32.03,150.83,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.91,31.09,25.06,18.14,25.34,29.26,20.53,31.89,30.98,28.43,25.65,21.1,17.96,17.47,19,22.11,25.56,28.33,30.42
0,SNOWTOWN-RAYVILLE-PARK,-33.77,138.22,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.45,32.15,24.88,16.9,23.88,29.67,19.22,33.34,32.64,28.36,25.46,20.81,17.03,16.56,17.1,19.8,24.01,27.83,30.48
0,ST-GEORGE-AIRPORT,-28.05,148.59,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.61,34.87,28.65,21.46,29.5,33.09,24.15,35.53,34.33,32.61,28.81,24.52,20.93,20.79,22.67,26.37,29.64,32.48,34.67
0,SYDNEY-OBSERVATORY-HILL,-33.86,151.21,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.29,26.89,23.93,19.12,23.21,25.9,20.67,27.36,27.37,26.02,24.37,21.39,19.11,18.53,19.71,21.68,23.58,24.37,25.95
0,TARCOOLA-AERO,-30.71,134.58,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28,35.63,27.56,20.37,28.48,33.04,22.97,37.12,36.08,31.74,27.82,23.13,19.62,20.16,21.32,25.23,28.38,31.82,34.01
0,TENNANT-CREEK-AIRPORT,-19.64,134.18,r1i1p1,rcp26,CESM1-CAM5,2020-2039,32.94,37.25,32.39,26.85,35.26,36.32,29.56,37.66,36.67,35.62,32.95,28.59,25.39,26.26,28.91,32.78,35.44,37.55,37.41
0,THARGOMINDAH-AIRPORT,-27.99,143.81,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.05,37.66,29.7,22.02,30.84,35.29,24.83,38.72,36.71,34.35,29.71,25.04,21.13,21.36,23.56,27.16,30.71,34.64,37.54
0,TIBOOBURRA-POST-OFFICE,-29.43,142.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.57,36.57,28.05,20.47,29.18,33.96,23.17,37.6,36.25,32.76,28.37,23.02,19.61,19.86,21.94,25.62,28.98,32.95,35.87
0,TOWNSVILLE-AERO,-19.25,146.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.15,32.48,30.63,26.94,30.59,32.06,28.25,32.65,32.27,32.12,30.94,28.83,26.75,26.66,27.4,28.99,30.9,31.9,32.41
0,VICTORIA-RIVER-DOWNS,-16.4,131.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,35.69,37.35,35.37,31.56,38.41,37.4,33.97,37.39,36.28,36.66,36,33.45,30.11,30.93,33.55,36.98,38.58,39.69,38.35
0,WAGGA-WAGGA-AMO,-35.16,147.46,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.18,32.04,23.73,14.66,22.25,29.21,17.14,33.17,32.28,28,24.39,18.8,14.48,14.11,15.39,18.05,22.03,26.68,30.73
